commits_total,merge_conflicts,bus_factor,refactor_commits,fix_commits,feature_commits,docs_commits,test_commits,refactor_ratio,fix_ratio,feature_ratio,docs_ratio,test_ratio,active_days,team_size,kpi_score
383,5,8,28,88,149,26,58,0.08022922636103152,0.2521489971346705,0.4269340974212034,0.07449856733524356,0.166189111747851,227,11,58.66116497232798
127,1,1,12,103,103,0,73,0.041237113402061855,0.3539518900343643,0.3539518900343643,0.0,0.2508591065292096,64,2,40.009014734265406
462,8,1,84,121,51,37,38,0.2537764350453172,0.36555891238670696,0.1540785498489426,0.11178247734138973,0.1148036253776435,92,12,16.976286057194887
377,1,4,33,84,60,31,22,0.14347826086956522,0.3652173913043478,0.2608695652173913,0.13478260869565217,0.09565217391304348,80,13,51.987194758784995
281,10,1,69,111,72,13,65,0.20909090909090908,0.33636363636363636,0.21818181818181817,0.03939393939393939,0.19696969696969696,123,10,20.3667496886675
209,16,4,38,132,189,3,50,0.09223300970873786,0.32038834951456313,0.4587378640776699,0.007281553398058253,0.12135922330097088,290,3,47.557554196036705
449,2,1,43,103,32,2,60,0.17916666666666667,0.42916666666666664,0.13333333333333333,0.008333333333333333,0.25,293,12,35.24286529680366
193,13,5,95,115,105,38,55,0.23284313725490197,0.2818627450980392,0.25735294117647056,0.09313725490196079,0.13480392156862744,39,3,34.16169755573463
163,10,8,39,68,47,36,48,0.1638655462184874,0.2857142857142857,0.19747899159663865,0.15126050420168066,0.20168067226890757,62,15,41.668642799585584
136,14,8,32,120,122,31,48,0.0906515580736544,0.33994334277620397,0.34560906515580736,0.08781869688385269,0.1359773371104816,306,6,50.57988280492065
453,15,1,88,55,24,38,40,0.35918367346938773,0.22448979591836735,0.09795918367346938,0.15510204081632653,0.16326530612244897,134,15,6.202963377131672
163,13,3,64,19,182,31,60,0.1797752808988764,0.05337078651685393,0.5112359550561798,0.08707865168539326,0.16853932584269662,155,11,40.56991688471602
328,2,2,19,33,26,8,47,0.14285714285714285,0.24812030075187969,0.19548872180451127,0.06015037593984962,0.3533834586466165,323,13,48.48480791018643
260,15,8,39,118,45,24,16,0.16115702479338842,0.48760330578512395,0.1859504132231405,0.09917355371900827,0.06611570247933884,165,7,38.27267066681762
293,2,3,24,93,88,24,13,0.09917355371900827,0.384297520661157,0.36363636363636365,0.09917355371900827,0.05371900826446281,47,11,50.78019925280199
381,1,3,39,68,157,28,11,0.12871287128712872,0.22442244224422442,0.5181518151815182,0.0924092409240924,0.036303630363036306,185,9,55.856028753560295
471,15,1,50,120,156,13,71,0.12195121951219512,0.2926829268292683,0.3804878048780488,0.03170731707317073,0.17317073170731706,321,3,34.56799198128968
481,12,2,24,53,52,16,40,0.12972972972972974,0.2864864864864865,0.2810810810810811,0.08648648648648649,0.21621621621621623,322,8,37.383931877082574
196,20,7,74,27,198,50,65,0.178743961352657,0.06521739130434782,0.4782608695652174,0.12077294685990338,0.1570048309178744,260,14,49.660677652041564
320,3,8,53,104,156,37,21,0.14285714285714285,0.2803234501347709,0.42048517520215634,0.09973045822102426,0.05660377358490566,339,7,59.52388952479415
425,1,8,45,128,41,14,80,0.1461038961038961,0.4155844155844156,0.1331168831168831,0.045454545454545456,0.2597402597402597,234,11,55.910024906600256
52,17,5,6,33,104,8,78,0.026200873362445413,0.14410480349344978,0.45414847161572053,0.034934497816593885,0.3406113537117904,341,15,50.69743375007477
180,4,8,73,63,43,24,27,0.3173913043478261,0.27391304347826084,0.18695652173913044,0.10434782608695652,0.11739130434782609,227,8,36.28350208457415
402,20,7,93,137,98,33,52,0.22518159806295399,0.33171912832929784,0.23728813559322035,0.07990314769975787,0.12590799031476999,166,11,35.39745928554845
320,6,1,10,16,128,13,70,0.04219409282700422,0.06751054852320675,0.540084388185654,0.05485232067510549,0.29535864978902954,155,5,41.93341425351136
437,15,8,50,93,58,2,50,0.1976284584980237,0.3675889328063241,0.22924901185770752,0.007905138339920948,0.1976284584980237,233,15,38.40917212626563
79,10,1,52,123,46,42,72,0.15522388059701492,0.36716417910447763,0.1373134328358209,0.1253731343283582,0.21492537313432836,83,15,24.569822122265386
476,9,8,14,138,92,27,6,0.05054151624548736,0.4981949458483754,0.33212996389891697,0.09747292418772563,0.021660649819494584,329,9,44.76136195044756
152,9,1,65,72,132,5,67,0.1906158357771261,0.21114369501466276,0.3870967741935484,0.01466275659824047,0.19648093841642228,132,12,27.997368738199498
420,16,2,53,124,39,18,36,0.1962962962962963,0.45925925925925926,0.14444444444444443,0.06666666666666667,0.13333333333333333,214,8,23.579654997463216
132,16,3,41,13,117,12,64,0.1659919028340081,0.05263157894736842,0.47368421052631576,0.048582995951417005,0.2591093117408907,329,13,44.30037158227497
478,20,3,19,126,35,12,50,0.07851239669421488,0.5206611570247934,0.1446280991735537,0.049586776859504134,0.2066115702479339,155,11,33.896014943960154
450,4,5,68,109,20,47,55,0.22742474916387959,0.36454849498327757,0.06688963210702341,0.15719063545150502,0.18394648829431437,135,4,42.05332844641958
275,1,3,97,27,165,17,43,0.27793696275071633,0.07736389684813753,0.47277936962750716,0.04871060171919771,0.12320916905444126,194,10,43.014267770930644
66,17,6,37,74,196,10,44,0.10249307479224377,0.20498614958448755,0.5429362880886427,0.027700831024930747,0.12188365650969529,66,5,52.2198990627253
319,15,2,63,52,189,28,14,0.18208092485549132,0.15028901734104047,0.546242774566474,0.08092485549132948,0.04046242774566474,81,2,33.05467574629821
364,15,5,65,120,73,32,11,0.2159468438538206,0.39867109634551495,0.2425249169435216,0.10631229235880399,0.036544850498338874,103,2,33.90265325626906
215,1,4,42,143,49,31,19,0.14788732394366197,0.5035211267605634,0.17253521126760563,0.10915492957746478,0.06690140845070422,47,13,47.15087786995948
274,14,5,30,35,27,4,15,0.2702702702702703,0.3153153153153153,0.24324324324324326,0.036036036036036036,0.13513513513513514,122,6,30.27483648031594
297,19,6,31,15,141,50,39,0.11231884057971014,0.05434782608695652,0.5108695652173914,0.18115942028985507,0.14130434782608695,346,6,58.58030573754218
403,0,5,95,114,180,47,8,0.21396396396396397,0.25675675675675674,0.40540540540540543,0.10585585585585586,0.018018018018018018,201,13,54.82549672960631
177,1,8,7,25,187,26,64,0.022653721682847898,0.08090614886731391,0.6051779935275081,0.08414239482200647,0.20711974110032363,17,8,61.774947909739765
240,7,7,29,10,71,27,52,0.15343915343915343,0.05291005291005291,0.37566137566137564,0.14285714285714285,0.2751322751322751,308,7,57.396426759440445
435,6,3,15,79,109,43,19,0.05660377358490566,0.2981132075471698,0.41132075471698115,0.16226415094339622,0.07169811320754717,317,4,47.04057896097182
106,12,5,30,31,69,9,17,0.19230769230769232,0.1987179487179487,0.4423076923076923,0.057692307692307696,0.10897435897435898,23,14,41.404812082894274
110,17,5,23,106,96,3,25,0.09090909090909091,0.4189723320158103,0.3794466403162055,0.011857707509881422,0.09881422924901186,211,12,47.495154041908066
211,3,6,9,135,84,17,35,0.03214285714285714,0.48214285714285715,0.3,0.060714285714285714,0.125,235,5,51.0584637964775
72,12,5,6,72,20,46,7,0.039735099337748346,0.4768211920529801,0.13245033112582782,0.304635761589404,0.046357615894039736,251,14,40.75623695908555
493,7,8,33,67,106,12,30,0.13306451612903225,0.2701612903225806,0.4274193548387097,0.04838709677419355,0.12096774193548387,81,15,51.355556783031375
314,4,1,36,11,45,31,13,0.2647058823529412,0.08088235294117647,0.33088235294117646,0.22794117647058823,0.09558823529411764,37,5,29.021555197421428
297,18,7,33,83,95,1,18,0.14347826086956522,0.36086956521739133,0.41304347826086957,0.004347826086956522,0.0782608695652174,175,12,44.658129839189996
51,18,8,15,111,128,26,20,0.05,0.37,0.4266666666666667,0.08666666666666667,0.06666666666666667,113,13,43.931278538812776
244,12,8,28,12,33,42,74,0.14814814814814814,0.06349206349206349,0.1746031746031746,0.2222222222222222,0.3915343915343915,232,5,51.16750018119881
254,11,7,34,100,107,26,54,0.1059190031152648,0.3115264797507788,0.3333333333333333,0.08099688473520249,0.16822429906542055,249,3,50.63837323432765
334,5,6,56,135,112,23,24,0.16,0.38571428571428573,0.32,0.06571428571428571,0.06857142857142857,213,6,49.77495107632094
215,5,1,67,94,97,6,62,0.20552147239263804,0.2883435582822086,0.29754601226993865,0.018404907975460124,0.1901840490797546,127,10,29.911505168501556
350,13,7,43,147,24,18,20,0.17063492063492064,0.5833333333333334,0.09523809523809523,0.07142857142857142,0.07936507936507936,266,4,35.766851489454226
145,13,8,14,50,51,5,44,0.08536585365853659,0.3048780487804878,0.31097560975609756,0.03048780487804878,0.2682926829268293,321,6,51.01311393250919
317,12,1,89,77,90,16,65,0.26409495548961426,0.228486646884273,0.26706231454005935,0.04747774480712166,0.19287833827893175,272,11,19.29872769399618
381,12,5,7,86,128,24,56,0.023255813953488372,0.2857142857142857,0.42524916943521596,0.07973421926910298,0.18604651162790697,256,5,45.58326127520139
77,15,7,35,79,37,24,10,0.1891891891891892,0.42702702702702705,0.2,0.12972972972972974,0.05405405405405406,300,13,38.6231025546094
357,2,5,5,94,148,11,57,0.015873015873015872,0.2984126984126984,0.46984126984126984,0.03492063492063492,0.18095238095238095,73,7,54.317460317460316
413,13,8,95,52,177,23,45,0.2423469387755102,0.1326530612244898,0.45153061224489793,0.058673469387755105,0.11479591836734694,60,11,38.1050810735253
471,12,5,74,44,31,36,46,0.3203463203463203,0.19047619047619047,0.1341991341991342,0.15584415584415584,0.19913419913419914,298,12,29.7531874518176
196,9,4,36,40,186,29,37,0.10975609756097561,0.12195121951219512,0.5670731707317073,0.08841463414634146,0.11280487804878049,158,15,52.377798195790184
158,17,2,61,106,23,34,28,0.24206349206349206,0.42063492063492064,0.09126984126984126,0.1349206349206349,0.1111111111111111,77,15,17.368286584040007
432,18,5,82,48,162,36,47,0.21866666666666668,0.128,0.432,0.096,0.12533333333333332,43,5,40.495707762557075
222,4,7,12,127,181,48,39,0.029484029484029485,0.31203931203931207,0.44471744471744473,0.11793611793611794,0.09582309582309582,178,2,53.51452324055062
434,7,8,26,125,77,24,34,0.09090909090909091,0.4370629370629371,0.2692307692307692,0.08391608391608392,0.11888111888111888,353,4,52.937015039754776
384,5,4,87,150,47,12,10,0.28431372549019607,0.49019607843137253,0.15359477124183007,0.0392156862745098,0.032679738562091505,296,3,29.79335661205122
234,4,6,24,80,131,21,23,0.08602150537634409,0.2867383512544803,0.46953405017921146,0.07526881720430108,0.08243727598566308,201,11,59.67457161093927
462,10,5,36,18,171,27,50,0.11920529801324503,0.059602649006622516,0.5662251655629139,0.08940397350993377,0.16556291390728478,140,15,55.14628504037014
339,19,3,32,114,138,6,77,0.08719346049046321,0.3106267029972752,0.3760217983651226,0.01634877384196185,0.2098092643051771,17,6,39.19472957336419
249,8,8,41,110,190,22,31,0.10406091370558376,0.27918781725888325,0.48223350253807107,0.05583756345177665,0.07868020304568528,310,7,56.231346916069825
449,16,8,17,24,111,5,28,0.0918918918918919,0.12972972972972974,0.6,0.02702702702702703,0.15135135135135136,161,4,55.23250647908182
169,6,1,21,115,146,49,51,0.0549738219895288,0.3010471204188482,0.38219895287958117,0.12827225130890052,0.13350785340314136,102,13,35.7297210069569
80,11,2,63,32,189,26,51,0.1745152354570637,0.0886426592797784,0.5235457063711911,0.07202216066481995,0.14127423822714683,365,2,39.204986149584485
323,13,1,51,46,115,16,57,0.17894736842105263,0.16140350877192983,0.40350877192982454,0.056140350877192984,0.2,35,9,27.77769766882961
298,17,6,31,129,64,31,17,0.11397058823529412,0.4742647058823529,0.23529411764705882,0.11397058823529412,0.0625,16,10,42.0022663174859
488,3,1,18,78,49,36,38,0.0821917808219178,0.3561643835616438,0.2237442922374429,0.1643835616438356,0.1735159817351598,142,2,41.057077625570784
190,9,1,19,110,28,45,52,0.07480314960629922,0.4330708661417323,0.11023622047244094,0.17716535433070865,0.2047244094488189,254,13,30.436144968180344
393,17,6,50,40,71,49,42,0.1984126984126984,0.15873015873015872,0.28174603174603174,0.19444444444444445,0.16666666666666666,98,4,41.95754511850402
139,18,1,39,71,112,41,9,0.14338235294117646,0.2610294117647059,0.4117647058823529,0.15073529411764705,0.03308823529411765,326,10,33.226782836422245
347,5,8,73,87,199,37,5,0.18204488778054864,0.2169576059850374,0.49625935162094764,0.09226932668329177,0.012468827930174564,168,13,51.833788815632154
284,6,3,50,101,86,50,14,0.16611295681063123,0.33554817275747506,0.2857142857142857,0.16611295681063123,0.046511627906976744,294,13,41.794839120739084
362,8,1,65,42,86,8,49,0.26,0.168,0.344,0.032,0.196,279,3,24.74191780821918
129,14,7,68,49,165,20,7,0.22006472491909385,0.15857605177993528,0.5339805825242718,0.06472491909385113,0.022653721682847898,137,9,41.37509420578977
491,8,7,45,39,115,24,7,0.1956521739130435,0.16956521739130434,0.5,0.10434782608695652,0.030434782608695653,85,9,45.90351399642645
190,17,7,43,42,84,11,36,0.19907407407407407,0.19444444444444445,0.3888888888888889,0.05092592592592592,0.16666666666666666,271,11,43.89751395230847
70,5,2,31,28,188,24,75,0.08959537572254335,0.08092485549132948,0.5433526011560693,0.06936416184971098,0.21676300578034682,205,3,52.0654446116082
220,10,8,90,122,109,8,69,0.22613065326633167,0.3065326633165829,0.27386934673366836,0.020100502512562814,0.17336683417085427,22,12,34.13302815447099
474,13,6,50,40,171,2,34,0.16835016835016836,0.13468013468013468,0.5757575757575758,0.006734006734006734,0.11447811447811448,307,11,50.19874544532078
64,12,2,29,130,50,43,5,0.11284046692607004,0.5058365758754864,0.19455252918287938,0.16731517509727625,0.019455252918287938,77,7,29.969191407707484
345,19,2,32,70,164,33,69,0.08695652173913043,0.19021739130434784,0.44565217391304346,0.08967391304347826,0.1875,238,10,41.559187016081
359,18,8,55,58,44,19,66,0.22727272727272727,0.2396694214876033,0.18181818181818182,0.07851239669421488,0.2727272727272727,26,8,35.27351975546247
287,7,7,82,81,70,3,54,0.2827586206896552,0.2793103448275862,0.2413793103448276,0.010344827586206896,0.18620689655172415,48,2,33.27822390174776
262,8,3,90,34,196,0,35,0.2535211267605634,0.09577464788732394,0.5521126760563381,0.0,0.09859154929577464,265,9,36.10901022573799
362,9,5,67,44,39,16,44,0.319047619047619,0.20952380952380953,0.18571428571428572,0.0761904761904762,0.20952380952380953,129,2,28.862361382909334
112,2,6,65,148,172,11,68,0.1400862068965517,0.31896551724137934,0.3706896551724138,0.023706896551724137,0.14655172413793102,193,7,58.11366320264525
53,14,3,43,80,68,0,56,0.17408906882591094,0.32388663967611336,0.27530364372469635,0.0,0.22672064777327935,183,11,33.636403970938936
431,1,5,94,120,168,21,41,0.21171171171171171,0.2702702702702703,0.3783783783783784,0.0472972972972973,0.09234234234234234,157,10,52.497531778353704
282,12,1,52,147,21,25,56,0.17275747508305647,0.4883720930232558,0.06976744186046512,0.08305647840531562,0.18604651162790697,200,13,20.875938651981983
134,3,4,81,74,171,24,9,0.22562674094707522,0.20612813370473537,0.4763231197771588,0.06685236768802229,0.025069637883008356,268,6,47.580703628801466
346,18,2,62,116,88,25,56,0.1786743515850144,0.33429394812680113,0.25360230547550433,0.07204610951008646,0.16138328530259366,262,9,29.84552524574632
225,2,8,79,39,24,33,46,0.3574660633484163,0.17647058823529413,0.1085972850678733,0.1493212669683258,0.2081447963800905,202,7,36.577078038802455
488,1,3,69,83,154,5,51,0.19060773480662985,0.2292817679558011,0.425414364640884,0.013812154696132596,0.1408839779005525,331,7,50.46242337092258
455,15,2,67,26,27,37,67,0.29910714285714285,0.11607142857142858,0.12053571428571429,0.16517857142857142,0.29910714285714285,129,2,19.56623043052838
231,14,8,60,88,186,6,47,0.15503875968992248,0.22739018087855298,0.4806201550387597,0.015503875968992248,0.12144702842377261,182,15,47.157233372270014
243,4,1,49,114,62,37,45,0.15960912052117263,0.3713355048859935,0.20195439739413681,0.12052117263843648,0.1465798045602606,229,3,35.306367408861725
465,8,8,50,66,46,9,66,0.2109704641350211,0.27848101265822783,0.1940928270042194,0.0379746835443038,0.27848101265822783,108,8,40.2811398185076
65,9,2,27,36,197,8,10,0.09712230215827339,0.12949640287769784,0.7086330935251799,0.02877697841726619,0.03597122302158273,35,8,44.026214644722586
64,19,2,49,89,25,19,47,0.21397379912663755,0.388646288209607,0.1091703056768559,0.08296943231441048,0.2052401746724891,70,8,21.251480528803015
323,8,3,12,37,40,39,23,0.07947019867549669,0.24503311258278146,0.26490066225165565,0.2582781456953642,0.152317880794702,149,15,44.3920892678944
160,13,7,59,13,21,48,67,0.28365384615384615,0.0625,0.10096153846153846,0.23076923076923078,0.32211538461538464,83,2,33.87737091675449
392,9,1,78,135,56,28,20,0.24605678233438485,0.42586750788643535,0.17665615141955837,0.08832807570977919,0.06309148264984227,300,3,17.779936044250466
227,5,2,15,24,159,23,63,0.0528169014084507,0.08450704225352113,0.5598591549295775,0.08098591549295775,0.22183098591549297,178,7,48.37849700945398
404,3,1,62,105,151,25,71,0.1497584541062802,0.2536231884057971,0.3647342995169082,0.06038647342995169,0.17149758454106281,84,2,39.660346767255646
466,1,7,45,71,96,19,58,0.15570934256055363,0.24567474048442905,0.33217993079584773,0.0657439446366782,0.20069204152249134,337,5,61.507441816372
421,3,6,14,104,31,3,69,0.06334841628959276,0.47058823529411764,0.14027149321266968,0.013574660633484163,0.31221719457013575,240,13,53.425680282650454
340,11,1,16,31,38,14,75,0.09195402298850575,0.1781609195402299,0.21839080459770116,0.08045977011494253,0.43103448275862066,40,12,34.46173830892773
272,3,5,99,102,195,41,22,0.21568627450980393,0.2222222222222222,0.42483660130718953,0.08932461873638345,0.04793028322440087,207,11,51.17875369325813
482,8,5,100,132,45,9,35,0.3115264797507788,0.411214953271028,0.14018691588785046,0.028037383177570093,0.10903426791277258,212,5,27.05675756411898
429,13,7,13,78,45,14,24,0.07471264367816093,0.4482758620689655,0.25862068965517243,0.08045977011494253,0.13793103448275862,162,15,44.02952290977799
473,5,8,22,94,63,28,5,0.10377358490566038,0.44339622641509435,0.2971698113207547,0.1320754716981132,0.02358490566037736,138,12,53.376260015507896
189,14,4,7,76,31,1,36,0.046357615894039736,0.5033112582781457,0.2052980132450331,0.006622516556291391,0.23841059602649006,203,8,36.39671595754332
70,15,5,95,130,137,9,15,0.24611398963730569,0.33678756476683935,0.3549222797927461,0.023316062176165803,0.038860103626943004,198,10,33.994712186812414
407,12,4,43,59,29,24,59,0.20093457943925233,0.2757009345794392,0.13551401869158877,0.11214953271028037,0.2757009345794392,96,5,33.9973114838049
177,10,6,39,62,88,43,48,0.1392857142857143,0.22142857142857142,0.3142857142857143,0.15357142857142858,0.17142857142857143,346,12,50.45401174168297
455,18,7,92,71,141,10,39,0.26062322946175637,0.20113314447592068,0.39943342776203966,0.028328611898016998,0.11048158640226628,314,3,37.60165314913268
451,7,5,36,67,34,29,30,0.1836734693877551,0.34183673469387754,0.17346938775510204,0.14795918367346939,0.15306122448979592,191,12,44.23378529493989
297,17,1,9,121,156,29,31,0.02601156069364162,0.34971098265895956,0.4508670520231214,0.0838150289017341,0.08959537572254335,89,9,26.07177923826115
314,18,5,75,85,136,40,27,0.2066115702479339,0.23415977961432508,0.3746556473829201,0.11019283746556474,0.0743801652892562,23,14,38.607079512434424
176,7,7,44,78,149,5,53,0.1337386018237082,0.23708206686930092,0.45288753799392095,0.015197568389057751,0.16109422492401215,142,12,53.071345297081216
468,20,3,17,51,168,21,27,0.05985915492957746,0.1795774647887324,0.5915492957746479,0.07394366197183098,0.09507042253521127,238,2,44.115907775419636
385,10,6,12,47,148,34,9,0.048,0.188,0.592,0.136,0.036,114,2,49.14164383561644
233,11,8,94,68,25,37,36,0.36153846153846153,0.26153846153846155,0.09615384615384616,0.1423076923076923,0.13846153846153847,281,12,23.02239199157008
437,15,8,24,137,39,24,32,0.09375,0.53515625,0.15234375,0.09375,0.125,215,8,43.765517979452056
293,4,5,24,142,112,29,16,0.07430340557275542,0.43962848297213625,0.34674922600619196,0.08978328173374613,0.04953560371517028,295,10,55.47143644768651
198,8,8,92,128,96,11,36,0.2534435261707989,0.3526170798898072,0.2644628099173554,0.030303030303030304,0.09917355371900827,117,3,34.230838899581116
359,10,8,65,109,80,14,8,0.23550724637681159,0.39492753623188404,0.2898550724637681,0.050724637681159424,0.028985507246376812,268,11,34.34152273178479
173,6,2,97,41,155,24,48,0.26575342465753427,0.11232876712328767,0.4246575342465753,0.06575342465753424,0.13150684931506848,117,4,30.68493150684931
259,10,5,72,80,140,43,9,0.20930232558139536,0.23255813953488372,0.4069767441860465,0.125,0.02616279069767442,80,9,39.293564829563564
250,19,1,36,137,140,23,43,0.09498680738786279,0.36147757255936674,0.36939313984168864,0.06068601583113457,0.11345646437994723,15,2,30.564318502186726
451,1,3,22,96,101,28,39,0.07692307692307693,0.3356643356643357,0.3531468531468531,0.0979020979020979,0.13636363636363635,68,6,51.72870964651787
391,2,4,62,63,151,48,61,0.16103896103896104,0.16363636363636364,0.3922077922077922,0.12467532467532468,0.15844155844155844,35,4,53.635296210638685
73,3,5,12,44,114,8,72,0.048,0.176,0.456,0.032,0.288,79,2,58.782191780821925
372,12,8,67,99,112,47,43,0.18206521739130435,0.26902173913043476,0.30434782608695654,0.12771739130434784,0.11684782608695653,138,13,41.65943269803454
